arm,population,n_replicates,mean,sd_across_seeds,cv_across_seeds,min,max,spread_pct_of_mean
co_mixed,IDHmut_TP53mut,10,0.00014968141176302275,1.1062988771164599e-05,0.07391023802394144,0.00013024575912516087,0.00017107242310931823,27.27570745310352
co_mixed,IDHmut_TP53wt,10,9.702423024767249e-05,9.885607412169662e-06,0.10188802721685915,8.37484183559508e-05,0.00011033471405188715,27.40170741686881
co_separated,IDHmut_TP53mut,10,0.00014170400224051911,1.5443404931684877e-05,0.10898354801208968,0.00011378275003105835,0.00016483701612780114,36.028810259068486
co_separated,IDHmut_TP53wt,10,9.569641556025327e-05,1.3726829596635708e-05,0.1434414185345625,7.71838079919718e-05,0.00012020067455205155,44.951387476989744
co_swapped,IDHmut_TP53mut,10,0.00014921007627830468,1.305530346911229e-05,0.08749612489146985,0.00012707545752697216,0.0001641070820357993,24.81844754221306
co_swapped,IDHmut_TP53wt,10,0.00010355204291678936,1.4043005336784594e-05,0.13561302067279388,7.211794452675107e-05,0.000116917575939046,43.26291413516031
label_control,label_A,10,0.00010106092605712501,1.8075474610693325e-05,0.17885720343069195,6.934626321263621e-05,0.00012844756487969167,58.48086295354968
label_control,label_B,10,9.856045049093905e-05,1.2782989268575543e-05,0.1296969444123099,8.032349761166537e-05,0.00012018442727740303,40.44312852385166
mono_TP53mut,IDHmut_TP53mut,10,0.0001420342856830553,1.0678505612995098e-05,0.0751825910317444,0.00012832872539470002,0.00015791066165515844,20.827320754419468
mono_TP53wt,IDHmut_TP53wt,10,9.189194249355905e-05,1.7325891607486007e-05,0.18854636366730876,6.512587936084052e-05,0.00011528058615336418,54.58009204238896
