population,time_days,mean,std,count,min,max,ci_low,ci_high
IDHmut_TP53mut,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53mut,0.25,103.7,2.2135943621178646,10,101,108,102.328,105.072
IDHmut_TP53mut,0.5,108.7,3.3015148038438373,10,103,114,106.65369992425353,110.74630007574648
IDHmut_TP53mut,0.75,115.4,4.647580015448901,10,110,125,112.519400062487,118.28059993751302
IDHmut_TP53mut,1.0,121.8,6.442911695119773,10,117,138,117.80664195889669,125.7933580411033
IDHmut_TP53mut,1.25,129.3,7.972870666621072,10,122,150,124.35836356389237,134.24163643610765
IDHmut_TP53mut,1.5,137.0,9.820613241770825,10,128,163,130.9131208507333,143.0868791492667
IDHmut_TP53mut,1.75,145.8,9.795690662508461,10,137,171,139.7285680253978,151.87143197460222
IDHmut_TP53mut,2.0,155.0,11.23486636423514,10,141,182,148.0365576839548,161.9634423160452
IDHmut_TP53mut,2.25,165.0,12.256517540566826,10,153,197,157.4033317244407,172.5966682755593
IDHmut_TP53mut,2.5,172.8,13.256444973420793,10,155,204,164.58357028063082,181.0164297193692
IDHmut_TP53mut,2.75,180.0,14.047538337136983,10,166,212,171.29324553387812,188.70675446612188
IDHmut_TP53mut,3.0,190.3,15.369883972669845,10,175,227,180.77364721767384,199.82635278232618
IDHmut_TP53mut,3.25,199.1,16.22378226897511,10,179,236,189.0443955704073,209.1556044295927
IDHmut_TP53mut,3.5,207.6,18.209887424144057,10,182,250,196.31339484167182,218.88660515832817
IDHmut_TP53mut,3.75,220.7,19.75432442108141,10,190,264,208.45614287353314,232.94385712646684
IDHmut_TP53mut,4.0,233.2,17.961687621774917,10,205,273,222.0672306729687,244.3327693270313
IDHmut_TP53mut,4.25,245.2,19.383842068417017,10,212,287,233.1857702147273,257.21422978527266
IDHmut_TP53mut,4.5,261.4,19.391865419408326,10,229,303,249.3807972902618,273.41920270973816
IDHmut_TP53mut,4.75,276.4,21.32916625968613,10,243,319,263.18004578928753,289.6199542107124
IDHmut_TP53mut,5.0,292.1,21.778939878291187,10,260,330,278.601273212303,305.59872678769705
IDHmut_TP53mut,5.25,309.3,23.16151021750429,10,276,350,294.94434723803124,323.6556527619688
IDHmut_TP53mut,5.5,325.4,24.061033505095605,10,292,370,310.48681692818957,340.3131830718104
IDHmut_TP53wt,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53wt,0.25,103.3,2.5407785333546005,10,99,107,101.72520914968932,104.87479085031067
IDHmut_TP53wt,0.5,109.0,3.681787005729085,10,103,114,106.7180047716478,111.2819952283522
IDHmut_TP53wt,0.75,112.9,5.9338951044917465,10,103,120,109.22213371036352,116.57786628963649
IDHmut_TP53wt,1.0,117.3,6.700746227100381,10,106,128,113.14683446031825,121.45316553968175
IDHmut_TP53wt,1.25,122.5,6.996030620605117,10,112,132,118.16381529708687,126.83618470291313
IDHmut_TP53wt,1.5,128.5,7.735200923914863,10,118,139,123.70567279659248,133.2943272034075
IDHmut_TP53wt,1.75,132.3,7.944949478896783,10,120,142,127.37566929533679,137.22433070466323
IDHmut_TP53wt,2.0,136.9,7.622335600063798,10,124,148,132.17562744906797,141.62437255093204
IDHmut_TP53wt,2.25,142.1,8.332666639997871,10,129,152,136.93535970920206,147.26464029079793
IDHmut_TP53wt,2.5,148.1,9.433392225964587,10,133,159,142.2531229228283,153.94687707717168
IDHmut_TP53wt,2.75,153.2,9.738811243906744,10,138,166,147.16382225429223,159.23617774570775
IDHmut_TP53wt,3.0,156.4,8.030497424748289,10,143,169,151.42264612916105,161.37735387083896
IDHmut_TP53wt,3.25,162.1,8.451824260674943,10,148,174,156.8615050507485,167.3384949492515
IDHmut_TP53wt,3.5,167.9,8.849984306326325,10,151,178,162.41472289771164,173.38527710228837
IDHmut_TP53wt,3.75,173.5,9.83474566128795,10,157,187,167.40436148636675,179.59563851363325
IDHmut_TP53wt,4.0,178.9,11.03982689075231,10,162,196,172.05744440204458,185.74255559795543
IDHmut_TP53wt,4.25,183.8,11.222992272810114,10,168,202,176.84391732206825,190.75608267793177
IDHmut_TP53wt,4.5,190.6,9.347608131376596,10,174,205,184.80629245550733,196.39370754449266
IDHmut_TP53wt,4.75,196.2,12.035133752661183,10,171,215,188.74054681777693,203.65945318222305
IDHmut_TP53wt,5.0,203.7,12.667105255564726,10,180,223,195.84884682213993,211.55115317786004
IDHmut_TP53wt,5.25,212.7,16.70695131441467,10,189,245,202.34492429342552,223.05507570657446
IDHmut_TP53wt,5.5,219.4,17.92081347359978,10,193,258,208.29256473247662,230.5074352675234
