population,time_days,mean,std,count,min,max,ci_low,ci_high
IDHmut_TP53mut,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53mut,0.25,106.7,1.636391694484476,10,104,110,105.68575391984434,107.71424608015566
IDHmut_TP53mut,0.5,111.7,1.4944341180973248,10,109,114,110.77374013725449,112.62625986274551
IDHmut_TP53mut,0.75,117.8,2.9739610697593966,10,113,121,115.95671983199033,119.64328016800967
IDHmut_TP53mut,1.0,125.0,4.472135954999576,10,120,134,122.22814141774873,127.77185858225127
IDHmut_TP53mut,1.25,132.3,6.799509786251748,10,125,144,128.0856201721566,136.5143798278434
IDHmut_TP53mut,1.5,138.1,6.967384333050992,10,128,147,133.781570450062,142.418429549938
IDHmut_TP53mut,1.75,143.3,7.103207413243368,10,134,153,138.8973864327854,147.70261356721463
IDHmut_TP53mut,2.0,150.4,7.662317607037123,10,139,161,145.65084634440572,155.1491536555943
IDHmut_TP53mut,2.25,158.6,8.796463936024393,10,145,171,153.1478951669001,164.0521048330999
IDHmut_TP53mut,2.5,166.1,8.887569346502392,10,148,178,160.5914274484622,171.60857255153778
IDHmut_TP53mut,2.75,175.1,11.367106540853355,10,151,191,168.0545943733207,182.1454056266793
IDHmut_TP53mut,3.0,184.5,11.664285471281794,10,161,206,177.27040096393844,191.72959903606156
IDHmut_TP53mut,3.25,193.8,14.061768499492995,10,168,218,185.0844255878724,202.51557441212762
IDHmut_TP53mut,3.5,204.3,15.698903004845771,10,180,236,194.5697191087707,214.03028089122932
IDHmut_TP53mut,3.75,214.4,17.544863129196028,10,187,246,203.525581170063,225.27441882993702
IDHmut_TP53mut,4.0,227.8,19.077619231852683,10,194,262,215.97556909520708,239.62443090479294
IDHmut_TP53mut,4.25,241.2,20.92207765336257,10,201,278,228.23236192156284,254.16763807843714
IDHmut_TP53mut,4.5,254.7,21.27100269276358,10,210,286,241.51609594155727,267.8839040584427
IDHmut_TP53mut,4.75,267.5,23.936257945728364,10,221,304,252.6641536211183,282.33584637888174
IDHmut_TP53mut,5.0,282.2,28.026971136944336,10,233,334,264.82870331712553,299.57129668287445
IDHmut_TP53mut,5.25,296.7,30.055689052897197,10,243,352,278.0712909256229,315.32870907437706
IDHmut_TP53mut,5.5,314.1,31.52230251037438,10,258,370,294.56227448697723,333.6377255130228
IDHmut_TP53wt,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53wt,0.25,104.1,2.330951164939613,10,99,107,102.65526150001692,105.54473849998307
IDHmut_TP53wt,0.5,107.5,4.719934086168766,10,96,112,104.5745545448409,110.4254454551591
IDHmut_TP53wt,0.75,111.5,4.648775226993784,10,101,117,108.61865926269654,114.38134073730346
IDHmut_TP53wt,1.0,114.3,4.78539444560216,10,106,124,111.33398179371737,117.26601820628262
IDHmut_TP53wt,1.25,117.9,4.748099034818504,10,107,125,114.95709772880959,120.84290227119043
IDHmut_TP53wt,1.5,123.8,6.477310827461931,10,108,131,119.78532115578066,127.81467884421933
IDHmut_TP53wt,1.75,127.0,7.803133273813082,10,109,135,122.16356788990525,131.83643211009476
IDHmut_TP53wt,2.0,131.8,8.363943780033171,10,113,143,126.61597393696539,136.98402606303463
IDHmut_TP53wt,2.25,137.9,10.76465409466453,10,113,152,131.22799826805246,144.57200173194755
IDHmut_TP53wt,2.5,143.5,11.539786248742507,10,117,157,136.34756638152672,150.65243361847328
IDHmut_TP53wt,2.75,148.6,11.786998487033642,10,124,162,141.29434264878694,155.90565735121305
IDHmut_TP53wt,3.0,153.5,12.886254520051802,10,130,168,145.51301670076728,161.48698329923272
IDHmut_TP53wt,3.25,158.6,14.049120178067305,10,134,178,149.89226509871187,167.30773490128811
IDHmut_TP53wt,3.5,163.7,11.27484909975394,10,144,179,156.7117761277354,170.6882238722646
IDHmut_TP53wt,3.75,167.7,11.304374767712227,10,148,186,160.6934759291389,174.70652407086106
IDHmut_TP53wt,4.0,174.9,14.019430960079815,10,148,197,166.21066666666667,183.58933333333334
IDHmut_TP53wt,4.25,181.5,15.536694915228555,10,152,208,171.87025672431733,191.12974327568267
IDHmut_TP53wt,4.5,188.3,17.256560749143755,10,153,214,177.60427283652228,198.99572716347774
IDHmut_TP53wt,4.75,193.6,19.2711644115704,10,158,220,181.65560854998836,205.54439145001163
IDHmut_TP53wt,5.0,200.8,20.600970850908944,10,167,232,188.0313859796766,213.56861402032342
IDHmut_TP53wt,5.25,206.4,21.925125110500762,10,171,242,192.81066666666666,219.98933333333335
IDHmut_TP53wt,5.5,212.6,24.717065629506536,10,171,244,197.28020400483956,227.91979599516043
