population,time_days,mean,std,count,min,max,ci_low,ci_high
IDHmut_TP53mut,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53mut,0.25,105.9,2.8460498941515415,10,102,111,104.13600000000001,107.664
IDHmut_TP53mut,0.5,111.5,3.0276503540974917,10,108,117,109.62344286879758,113.37655713120242
IDHmut_TP53mut,0.75,117.8,3.457680661303984,10,114,124,115.65690732299738,119.94309267700261
IDHmut_TP53mut,1.0,124.0,3.82970843102535,10,119,132,121.62632212238756,126.37367787761244
IDHmut_TP53mut,1.25,129.7,5.034326612809744,10,125,139,126.57969203799082,132.82030796200914
IDHmut_TP53mut,1.5,137.5,7.849274559544411,10,131,153,132.63496922471765,142.36503077528235
IDHmut_TP53mut,1.75,145.0,8.70504323813373,10,137,163,139.60455830250098,150.39544169749902
IDHmut_TP53mut,2.0,154.3,9.753062197188237,10,144,173,148.2549894219374,160.3450105780626
IDHmut_TP53mut,2.25,159.7,10.781156400559883,10,150,179,153.0177700328907,166.38222996710928
IDHmut_TP53mut,2.5,169.8,12.708702180439632,10,156,192,161.92306478099226,177.67693521900776
IDHmut_TP53mut,2.75,179.0,14.329456840136451,10,161,205,170.11851063540954,187.88148936459046
IDHmut_TP53mut,3.0,188.9,15.849640724985248,10,169,216,179.07629090188212,198.7237090981179
IDHmut_TP53mut,3.25,199.2,16.864163187066236,10,179,226,188.74748336523686,209.65251663476312
IDHmut_TP53mut,3.5,211.3,18.59539967004981,10,188,243,199.7744518761338,222.8255481238662
IDHmut_TP53mut,3.75,222.5,21.557416872673365,10,192,261,209.1385745936712,235.8614254063288
IDHmut_TP53mut,4.0,237.0,22.14096254055415,10,203,276,223.27688924154262,250.72311075845738
IDHmut_TP53mut,4.25,250.3,24.78821404529894,10,210,292,234.93610575985952,265.6638942401405
IDHmut_TP53mut,4.5,264.2,24.7736419069408,10,222,304,248.8451376647873,279.5548623352127
IDHmut_TP53mut,4.75,279.4,25.299099676558562,10,238,316,263.71945556500737,295.0805444349926
IDHmut_TP53mut,5.0,293.7,24.258102884511718,10,256,327,278.6646720613675,308.73532793863245
IDHmut_TP53mut,5.25,310.6,24.391255263584387,10,270,339,295.48214336179456,325.7178566382055
IDHmut_TP53mut,5.5,326.1,27.565880682063792,10,281,352,309.0144901419036,343.18550985809645
IDHmut_TP53wt,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53wt,0.25,104.2,2.5298221281347035,10,101,108,102.632,105.768
IDHmut_TP53wt,0.5,106.9,4.17532433869913,10,101,116,104.3121071634758,109.48789283652421
IDHmut_TP53wt,0.75,111.2,3.9944405810520647,10,106,118,108.72422007799113,113.67577992200887
IDHmut_TP53wt,1.0,115.0,4.396968652757639,10,108,120,112.27473059435708,117.72526940564292
IDHmut_TP53wt,1.25,120.6,5.5417606508321064,10,110,131,117.16518116279119,124.0348188372088
IDHmut_TP53wt,1.5,124.3,6.799509786251751,10,110,135,120.0856201721566,128.51437982784338
IDHmut_TP53wt,1.75,127.6,7.396695959082753,10,114,140,123.01548034746884,132.18451965253115
IDHmut_TP53wt,2.0,132.8,8.534895690308375,10,116,147,127.51001684522743,138.0899831547726
IDHmut_TP53wt,2.25,138.1,7.125073099040223,10,130,150,133.6838339403203,142.51616605967968
IDHmut_TP53wt,2.5,143.7,7.616502551113012,10,132,155,138.97924281026397,148.420757189736
IDHmut_TP53wt,2.75,149.1,9.700515450222216,10,136,164,143.08755823313024,155.11244176686975
IDHmut_TP53wt,3.0,155.3,10.044899203078147,10,139,169,149.07410697168672,161.5258930283133
IDHmut_TP53wt,3.25,161.0,11.585431464655178,10,144,182,153.8192751835982,168.1807248164018
IDHmut_TP53wt,3.5,167.6,12.02035310999177,10,150,189,160.14970795501574,175.05029204498425
IDHmut_TP53wt,3.75,174.5,13.842366528564078,10,148,192,165.92041233832043,183.07958766167957
IDHmut_TP53wt,4.0,182.4,14.803903389159075,10,151,201,173.22444561771758,191.57555438228243
IDHmut_TP53wt,4.25,189.8,13.814646012274238,10,157,206,181.2375936923212,198.3624063076788
IDHmut_TP53wt,4.5,196.5,15.97393710600698,10,164,217,186.5992512067689,206.4007487932311
IDHmut_TP53wt,4.75,204.8,17.466157753400335,10,166,226,193.97436326737932,215.6256367326207
IDHmut_TP53wt,5.0,210.7,20.30900183552987,10,168,240,198.1123502502563,223.28764974974368
IDHmut_TP53wt,5.25,217.4,22.46083010240024,10,171,248,203.4786332727151,231.32136672728492
IDHmut_TP53wt,5.5,224.0,24.886408606573458,10,172,258,208.5752441402357,239.4247558597643
