population,time_days,mean,std,count,min,max,ci_low,ci_high
label_A,0.0,100.0,0.0,10,100,100,100.0,100.0
label_A,0.25,104.3,1.9465068427541952,10,101,107,103.09354255957552,105.50645744042447
label_A,0.5,108.8,4.184627953726723,10,103,116,106.20634072313952,111.39365927686048
label_A,0.75,112.3,5.478239782184703,10,103,122,108.90455180507132,115.69544819492867
label_A,1.0,115.6,6.292853089020908,10,108,128,111.69964924654205,119.50035075345794
label_A,1.25,120.5,7.8634174080569705,10,110,135,115.62620339639277,125.37379660360723
label_A,1.5,125.2,8.991353871606012,10,115,142,119.62710113336176,130.77289886663823
label_A,1.75,128.9,9.971626413646536,10,119,149,122.7195219170898,135.0804780829102
label_A,2.0,133.7,10.242070103255495,10,124,154,127.35189918164494,140.04810081835504
label_A,2.25,137.8,10.379466909881899,10,127,158,131.36673975861902,144.233260241381
label_A,2.5,142.2,11.232888220657134,10,129,162,135.23778375004687,149.1622162499531
label_A,2.75,147.7,13.760248705762713,10,134,172,139.1713094922035,156.22869050779647
label_A,3.0,153.6,14.167254889748797,10,139,181,144.81904444582227,162.38095555417772
label_A,3.25,158.8,15.817009128712602,10,141,188,148.9965161747922,168.60348382520783
label_A,3.5,167.0,19.977765418362264,10,147,204,154.61765270861602,179.38234729138398
label_A,3.75,172.6,20.505825730481785,10,149,208,159.89035753628153,185.30964246371846
label_A,4.0,179.7,21.853298759378795,10,156,217,166.15518510031728,193.2448148996827
label_A,4.25,186.3,22.51443981093023,10,161,227,172.3454056311192,200.25459436888082
label_A,4.5,194.8,23.63048878038709,10,163,236,180.1536713132608,209.44632868673924
label_A,4.75,202.0,25.174943451332275,10,163,243,186.39640839065854,217.60359160934146
label_A,5.0,210.3,27.39038760830765,10,169,253,193.3232618759276,227.2767381240724
label_A,5.25,218.0,27.531799795872413,10,179,263,200.93561369401172,235.06438630598828
label_A,5.5,225.0,29.427877939124322,10,186,274,206.76041228536127,243.23958771463873
label_B,0.0,100.0,0.0,10,100,100,100.0,100.0
label_B,0.25,104.2,2.5733678754158396,10,99,108,102.6050100662108,105.79498993378921
label_B,0.5,108.2,4.70932880331983,10,100,116,105.28112776725135,111.11887223274866
label_B,0.75,111.7,4.522781838156199,10,106,117,108.89675077415114,114.50324922584886
label_B,1.0,116.3,6.165315167216605,10,107,125,112.47869806944747,120.12130193055252
label_B,1.25,122.5,5.147815070493501,10,113,129,119.30935116316445,125.69064883683555
label_B,1.5,125.6,6.203941399536986,10,113,134,121.75475728262109,129.4452427173789
label_B,1.75,131.3,6.8807299354388585,10,118,142,127.03527940214394,135.56472059785608
label_B,2.0,135.0,9.043106644167022,10,118,146,129.39502443260355,140.60497556739645
label_B,2.25,138.6,8.73307887670017,10,121,149,133.18718163368965,144.01281836631034
label_B,2.5,143.6,8.487899884214274,10,130,154,138.33914514762307,148.86085485237692
label_B,2.75,148.7,10.17677093515751,10,132,163,142.3923720253437,155.0076279746563
label_B,3.0,153.8,11.193251935380038,10,137,171,146.86235057418182,160.7376494258182
label_B,3.25,159.6,11.927559124425526,10,141,180,152.20722226313634,166.99277773686364
label_B,3.5,165.5,15.63649577111189,10,138,187,155.80839951298032,175.19160048701968
label_B,3.75,171.9,16.86844522901991,10,141,196,161.4448293281373,182.3551706718627
label_B,4.0,177.8,17.849992219108177,10,146,207,166.73646020078164,188.8635397992184
label_B,4.25,183.2,17.862437310363518,10,154,213,172.12874665330673,194.27125334669324
label_B,4.5,192.1,17.297719824043604,10,170,221,181.37876217760075,202.82123782239924
label_B,4.75,199.2,19.251551164054863,10,174,231,187.26776496674285,211.13223503325713
label_B,5.0,207.2,19.62877706045104,10,184,241,195.03395793384078,219.3660420661592
label_B,5.25,214.4,21.515885604207263,10,187,252,201.06431594055508,227.73568405944494
label_B,5.5,221.2,21.998989875800106,10,192,257,207.56488481081945,234.83511518918053
