population,time_days,mean,std,count,min,max,ci_low,ci_high
IDHmut_TP53mut,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53mut,0.25,105.8,2.9739610697593957,10,100,110,103.95671983199033,107.64328016800967
IDHmut_TP53mut,0.5,112.4,3.438345855527368,10,105,116,110.26889115977413,114.53110884022588
IDHmut_TP53mut,0.75,118.6,4.671426144361295,10,109,125,115.7046200786617,121.49537992133828
IDHmut_TP53mut,1.0,125.8,5.959119994689746,10,116,132,122.10649916143986,129.49350083856012
IDHmut_TP53mut,1.25,131.6,5.834761729877618,10,123,139,127.9835772125237,135.2164227874763
IDHmut_TP53mut,1.5,137.6,4.788875998951462,10,129,145,134.63182390459505,140.56817609540494
IDHmut_TP53mut,1.75,145.3,6.896859188548554,10,133,154,141.0252823874943,149.57471761250574
IDHmut_TP53mut,2.0,152.5,8.669871202426636,10,137,164,147.1263581560857,157.8736418439143
IDHmut_TP53mut,2.25,160.0,11.125546178852423,10,141,173,153.10431503684288,166.89568496315712
IDHmut_TP53mut,2.5,167.3,10.801748829600594,10,146,181,160.6050067131392,173.99499328686082
IDHmut_TP53mut,2.75,177.3,9.809858986414294,10,159,190,171.21978640726059,183.38021359273944
IDHmut_TP53mut,3.0,186.2,10.019980039900275,10,168,203,179.98955202904008,192.4104479709599
IDHmut_TP53mut,3.25,196.8,10.008884941779366,10,179,210,190.59642884210143,203.0035711578986
IDHmut_TP53mut,3.5,207.8,11.650464940650798,10,189,221,200.5789670175706,215.02103298242943
IDHmut_TP53mut,3.75,217.7,12.702143301208835,10,199,234,209.82713001645664,225.57286998354334
IDHmut_TP53mut,4.0,230.8,16.711938513795722,10,204,258,220.4418331952244,241.15816680477562
IDHmut_TP53mut,4.25,242.1,15.38722413779258,10,214,263,232.56289967198276,251.63710032801723
IDHmut_TP53mut,4.5,255.9,16.78921611564333,10,228,278,245.49393604136938,266.3060639586306
IDHmut_TP53mut,4.75,268.3,17.48046528747638,10,243,293,257.4654953658847,279.13450463411533
IDHmut_TP53mut,5.0,281.4,18.367846302105693,10,257,307,270.0154909147952,292.7845090852048
IDHmut_TP53mut,5.25,295.8,20.590181047177694,10,265,320,283.0380735693148,308.5619264306852
IDHmut_TP53mut,5.5,311.2,24.773641906940796,10,273,338,295.84513766478733,326.55486233521265
