population,time_days,mean,std,count,min,max,ci_low,ci_high
IDHmut_TP53wt,0.0,100.0,0.0,10,100,100,100.0,100.0
IDHmut_TP53wt,0.25,102.6,3.134042472944841,10,98,107,100.65750035035038,104.54249964964961
IDHmut_TP53wt,0.5,104.7,2.8693785622209798,10,101,110,102.92154074172802,106.47845925827198
IDHmut_TP53wt,0.75,110.2,3.1902629637347744,10,106,116,108.22265452914492,112.17734547085509
IDHmut_TP53wt,1.0,113.8,3.5213633723318036,10,107,119,111.61743636977063,115.98256363022936
IDHmut_TP53wt,1.25,116.8,4.732863826479693,10,108,125,113.86654060876923,119.73345939123077
IDHmut_TP53wt,1.5,121.5,7.820912137766717,10,108,137,116.65254843586172,126.34745156413828
IDHmut_TP53wt,1.75,124.8,8.038794823990854,10,109,138,119.81750334782964,129.78249665217035
IDHmut_TP53wt,2.0,127.4,9.10677403548223,10,112,140,121.75556297463305,133.04443702536696
IDHmut_TP53wt,2.25,131.3,11.45086120002431,10,113,148,124.20268269774496,138.39731730225506
IDHmut_TP53wt,2.5,136.8,14.405245958022071,10,115,158,127.87153605347234,145.72846394652768
IDHmut_TP53wt,2.75,141.5,14.931324269616688,10,120,163,132.24546933779038,150.75453066220962
IDHmut_TP53wt,3.0,146.5,14.385563751360056,10,125,167,137.58373521154863,155.41626478845137
IDHmut_TP53wt,3.25,151.0,16.699966733167134,10,124,172,140.6492533817335,161.3507466182665
IDHmut_TP53wt,3.5,156.8,15.977762324208253,10,127,182,146.89688031196457,166.70311968803546
IDHmut_TP53wt,3.75,162.6,16.614585292580866,10,129,188,152.30217334687663,172.89782665312336
IDHmut_TP53wt,4.0,168.1,16.26482229981147,10,138,190,158.01895869576074,178.18104130423924
IDHmut_TP53wt,4.25,173.4,18.367846302105693,10,138,197,162.01549091479518,184.78450908520483
IDHmut_TP53wt,4.5,181.1,20.999735448069064,10,145,212,168.08422912173253,194.11577087826745
IDHmut_TP53wt,4.75,186.0,21.674357609345144,10,155,219,172.5660939741596,199.4339060258404
IDHmut_TP53wt,5.0,194.4,23.552305855501942,10,164,231,179.8021295921479,208.9978704078521
IDHmut_TP53wt,5.25,200.8,26.190753245287837,10,165,240,184.566802957451,217.03319704254903
IDHmut_TP53wt,5.5,208.6,26.37001664348694,10,170,248,192.25569435212645,224.94430564787353
