x,y,population,time_days
-159.2047,-25.6197,IDHmut_TP53wt,0.0
-190.1293,-30.4877,IDHmut_TP53wt,0.0
-199.3966,39.0825,IDHmut_TP53wt,0.0
-187.8796,-22.2814,IDHmut_TP53wt,0.0
-198.1777,17.5781,IDHmut_TP53wt,0.0
-183.2911,-11.5727,IDHmut_TP53wt,0.0
-184.0078,-41.8592,IDHmut_TP53wt,0.0
-162.4726,3.4237,IDHmut_TP53wt,0.0
-208.041,-29.4198,IDHmut_TP53wt,0.0
-204.9859,-48.6916,IDHmut_TP53wt,0.0
-183.8734,6.3545,IDHmut_TP53wt,0.0
-196.9055,2.4579,IDHmut_TP53wt,0.0
-169.8988,5.7516,IDHmut_TP53wt,0.0
-220.9232,-14.4666,IDHmut_TP53wt,0.0
-191.7219,36.4071,IDHmut_TP53wt,0.0
-171.1965,-3.4689,IDHmut_TP53wt,0.0
-177.5289,6.7005,IDHmut_TP53wt,0.0
-171.3466,20.154,IDHmut_TP53wt,0.0
-196.7536,-32.9841,IDHmut_TP53wt,0.0
-204.4314,-48.9848,IDHmut_TP53wt,0.0
-176.6707,0.6382,IDHmut_TP53wt,0.0
-215.0119,21.2336,IDHmut_TP53wt,0.0
-224.5548,26.1964,IDHmut_TP53wt,0.0
-215.2039,-25.8243,IDHmut_TP53wt,0.0
-246.9511,16.9619,IDHmut_TP53wt,0.0
-195.1725,-11.768,IDHmut_TP53wt,0.0
-220.9132,-28.4371,IDHmut_TP53wt,0.0
-188.2413,17.8454,IDHmut_TP53wt,0.0
-187.7126,-15.5773,IDHmut_TP53wt,0.0
-171.4685,6.0538,IDHmut_TP53wt,0.0
-193.8518,4.7031,IDHmut_TP53wt,0.0
-233.8514,-36.5834,IDHmut_TP53wt,0.0
-207.707,-21.3548,IDHmut_TP53wt,0.0
-227.8535,-3.6728,IDHmut_TP53wt,0.0
-174.921,-13.1673,IDHmut_TP53wt,0.0
-203.1706,13.6896,IDHmut_TP53wt,0.0
-205.1833,38.1378,IDHmut_TP53wt,0.0
-182.9167,-24.3505,IDHmut_TP53wt,0.0
-223.2275,11.58,IDHmut_TP53wt,0.0
-203.9575,4.4011,IDHmut_TP53wt,0.0
-173.2634,26.9776,IDHmut_TP53wt,0.0
-224.0231,-17.9044,IDHmut_TP53wt,0.0
-222.3913,11.365,IDHmut_TP53wt,0.0
-164.7245,1.1031,IDHmut_TP53wt,0.0
-181.1846,-10.9736,IDHmut_TP53wt,0.0
-162.5303,-25.7021,IDHmut_TP53wt,0.0
-163.2585,-3.5246,IDHmut_TP53wt,0.0
-235.097,31.423,IDHmut_TP53wt,0.0
-183.6914,12.2958,IDHmut_TP53wt,0.0
-153.5061,-1.3789,IDHmut_TP53wt,0.0
-207.443,-26.1818,IDHmut_TP53wt,0.0
-176.5697,-31.452,IDHmut_TP53wt,0.0
-191.0582,-3.9145,IDHmut_TP53wt,0.0
-225.0632,-37.8438,IDHmut_TP53wt,0.0
-181.5468,-40.7594,IDHmut_TP53wt,0.0
-161.2453,15.5798,IDHmut_TP53wt,0.0
-221.1009,18.9265,IDHmut_TP53wt,0.0
-222.882,-7.6253,IDHmut_TP53wt,0.0
-197.6343,26.8184,IDHmut_TP53wt,0.0
-231.0304,-36.6931,IDHmut_TP53wt,0.0
-226.4086,-22.6331,IDHmut_TP53wt,0.0
-160.7906,-1.3347,IDHmut_TP53wt,0.0
-202.6471,-32.5849,IDHmut_TP53wt,0.0
-191.5464,17.3709,IDHmut_TP53wt,0.0
-244.3805,0.7584,IDHmut_TP53wt,0.0
-215.4669,-39.8475,IDHmut_TP53wt,0.0
-186.9494,16.159,IDHmut_TP53wt,0.0
-183.4756,28.1488,IDHmut_TP53wt,0.0
-208.0013,-47.2501,IDHmut_TP53wt,0.0
-169.6528,16.2496,IDHmut_TP53wt,0.0
-169.7481,-27.5156,IDHmut_TP53wt,0.0
-199.233,-35.6215,IDHmut_TP53wt,0.0
-185.1577,-25.2516,IDHmut_TP53wt,0.0
-170.4408,-13.7324,IDHmut_TP53wt,0.0
-164.5304,12.7426,IDHmut_TP53wt,0.0
-242.897,6.1692,IDHmut_TP53wt,0.0
-232.415,7.6419,IDHmut_TP53wt,0.0
-232.6046,-11.9795,IDHmut_TP53wt,0.0
-159.1939,-3.311,IDHmut_TP53wt,0.0
-219.4825,21.7712,IDHmut_TP53wt,0.0
-196.9321,-33.4675,IDHmut_TP53wt,0.0
-214.7077,-25.1735,IDHmut_TP53wt,0.0
-216.0233,-31.6875,IDHmut_TP53wt,0.0
-215.0149,-18.1444,IDHmut_TP53wt,0.0
-216.2335,-44.8105,IDHmut_TP53wt,0.0
-190.6637,-24.1213,IDHmut_TP53wt,0.0
-188.2316,-18.5111,IDHmut_TP53wt,0.0
-194.3358,31.1854,IDHmut_TP53wt,0.0
-212.1932,47.1529,IDHmut_TP53wt,0.0
-206.4725,6.1253,IDHmut_TP53wt,0.0
-215.4528,5.7826,IDHmut_TP53wt,0.0
-230.5196,-18.5477,IDHmut_TP53wt,0.0
-184.8643,-1.9218,IDHmut_TP53wt,0.0
-186.6787,-2.1215,IDHmut_TP53wt,0.0
