arm,seed,population,n_end,log_growth_rate_per_min
co_mixed,20260907,IDHmut_TP53mut,370.0,0.00017107242310931823
co_mixed,20260907,IDHmut_TP53wt,206.0,9.639276982281702e-05
co_mixed,20260908,IDHmut_TP53mut,292.0,0.00013024575912516087
co_mixed,20260908,IDHmut_TP53wt,258.0,0.00010894043846210688
co_mixed,20260909,IDHmut_TP53mut,308.0,0.0001489730725599552
co_mixed,20260909,IDHmut_TP53wt,216.0,9.112240382994054e-05
co_mixed,20260910,IDHmut_TP53mut,337.0,0.00015624959820269502
co_mixed,20260910,IDHmut_TP53wt,228.0,0.00011033471405188715
co_mixed,20260911,IDHmut_TP53mut,315.0,0.00014351592399623284
co_mixed,20260911,IDHmut_TP53wt,193.0,8.749759287903042e-05
co_mixed,20260912,IDHmut_TP53mut,305.0,0.0001434048874489163
co_mixed,20260912,IDHmut_TP53wt,208.0,8.511979200496795e-05
co_mixed,20260913,IDHmut_TP53mut,357.0,0.00015877900511267084
co_mixed,20260913,IDHmut_TP53wt,210.0,8.37484183559508e-05
co_mixed,20260914,IDHmut_TP53mut,327.0,0.00014748529795147663
co_mixed,20260914,IDHmut_TP53wt,216.0,9.787620921219849e-05
co_mixed,20260915,IDHmut_TP53mut,329.0,0.00015378623685395238
co_mixed,20260915,IDHmut_TP53wt,231.0,0.00010399232401087087
co_mixed,20260916,IDHmut_TP53mut,314.0,0.0001433019132698492
co_mixed,20260916,IDHmut_TP53wt,228.0,0.00010521763984695475
co_separated,20260907,IDHmut_TP53mut,309.0,0.00014403352105246702
co_separated,20260907,IDHmut_TP53wt,244.0,0.00012020067455205155
co_separated,20260908,IDHmut_TP53mut,346.0,0.00015913681507366602
co_separated,20260908,IDHmut_TP53wt,218.0,9.808620671172897e-05
co_separated,20260909,IDHmut_TP53mut,258.0,0.00011378275003105835
co_separated,20260909,IDHmut_TP53wt,171.0,7.843976857350943e-05
co_separated,20260910,IDHmut_TP53mut,312.0,0.00014366681166280904
co_separated,20260910,IDHmut_TP53wt,243.0,0.0001081679629289722
co_separated,20260911,IDHmut_TP53mut,305.0,0.00013057618774354085
co_separated,20260911,IDHmut_TP53wt,227.0,0.00010504179624047747
