arm,seed,population,apoptosis_factor,n_start,n_end,n_dead_end,fold_change,log2_fold_change,log_growth_rate_per_min,observed_doubling_time_days,auc_log_count,final_proportion,final_radius_of_gyration,min_oxygen_mmHg,n_timepoints_observed
co_mixed,20260907,IDHmut_TP53mut,10.0,100.0,370.0,2,3.7,1.8875252707415875,0.00017107242310931823,2.8137335052218897,5.21810293033541,0.6423611111111112,142.09797489078002,10.774861748356296,23
co_mixed,20260907,IDHmut_TP53wt,10.0,100.0,206.0,3,2.06,1.0426443374084937,9.639276982281702e-05,4.993654706747973,4.958069232137912,0.3576388888888889,138.1081108164323,10.774861748356296,23
co_mixed,20260908,IDHmut_TP53mut,10.0,100.0,292.0,0,2.92,1.5459683691052926,0.00013024575912516087,3.695722701110171,5.108244226608415,0.5309090909090909,131.56657747817266,11.169664827639172,23
co_mixed,20260908,IDHmut_TP53wt,10.0,100.0,258.0,3,2.58,1.3673710656485294,0.00010894043846210688,4.4184897317961,5.068751405676224,0.4690909090909091,139.58427462674612,11.169664827639172,23
co_mixed,20260909,IDHmut_TP53mut,10.0,100.0,308.0,0,3.08,1.6229303509201767,0.0001489730725599552,3.231135670699554,5.162824782649678,0.5877862595419847,141.21683528466363,11.369666861473464,23
co_mixed,20260909,IDHmut_TP53wt,10.0,100.0,216.0,3,2.16,1.1110313123887439,9.112240382994054e-05,5.282479264051459,5.037249091577916,0.4122137404580153,127.20289728140955,11.369666861473464,23
co_mixed,20260910,IDHmut_TP53mut,10.0,100.0,337.0,0,3.37,1.752748591407134,0.00015624959820269502,3.0806620577529378,5.21020746304353,0.5964601769911504,137.48412939523527,11.053801938184229,23
co_mixed,20260910,IDHmut_TP53wt,10.0,100.0,228.0,2,2.28,1.189033824390017,0.00011033471405188715,4.362654245841599,4.987287302920355,0.40353982300884955,140.62768297135457,11.053801938184229,23
co_mixed,20260911,IDHmut_TP53mut,10.0,100.0,315.0,0,3.15,1.6553518286125541,0.00014351592399623284,3.3539986039097602,5.173298200045406,0.6200787401574803,131.0615280912033,11.51581259955013,23
co_mixed,20260911,IDHmut_TP53wt,10.0,100.0,193.0,4,1.93,0.9486008474933557,8.749759287903042e-05,5.501319440726518,4.925037643307322,0.3799212598425197,130.79302690048834,11.51581259955013,23
co_mixed,20260912,IDHmut_TP53mut,10.0,100.0,305.0,3,3.05,1.6088092426755238,0.0001434048874489163,3.356595561595846,5.178861238358749,0.594541910331384,136.79565299594245,11.532345306645439,23
co_mixed,20260912,IDHmut_TP53wt,10.0,100.0,208.0,3,2.08,1.0565835283663676,8.511979200496795e-05,5.6549974733736486,4.991444750660448,0.40545808966861596,129.3719583775073,11.532345306645439,23
co_mixed,20260913,IDHmut_TP53mut,10.0,100.0,357.0,3,3.57,1.835924074254375,0.00015877900511267084,3.031585998291228,5.326574600595743,0.6296296296296297,143.30411489812846,11.136829231655915,23
co_mixed,20260913,IDHmut_TP53wt,10.0,100.0,210.0,5,2.1,1.070389327891398,8.37484183559508e-05,5.747597604486359,5.035030117080249,0.37037037037037035,138.27551869086471,11.136829231655915,23
co_mixed,20260914,IDHmut_TP53mut,10.0,100.0,327.0,2,3.27,1.709290635723358,0.00014748529795147663,3.2637301168863044,5.162732672721035,0.6022099447513812,138.32535167008217,11.143580521195332,23
co_mixed,20260914,IDHmut_TP53wt,10.0,100.0,216.0,9,2.16,1.1110313123887439,9.787620921219849e-05,4.917969469767659,5.0129025863461,0.39779005524861877,136.57830956942962,11.143580521195332,23
co_mixed,20260915,IDHmut_TP53mut,10.0,100.0,329.0,1,3.29,1.7180875839605168,0.00015378623685395238,3.1300083711607725,5.1603391125814255,0.5875,137.70795165926202,10.973446635870953,23
co_mixed,20260915,IDHmut_TP53wt,10.0,100.0,231.0,6,2.31,1.207892851641333,0.00010399232401087087,4.628728257595877,5.04992631609941,0.4125,140.51337411476436,10.973446635870953,23
co_mixed,20260916,IDHmut_TP53mut,10.0,100.0,314.0,1,3.14,1.6507645591169025,0.0001433019132698492,3.3590075508326165,5.169843848886274,0.5793357933579336,133.6438496381465,11.405684888341312,23
co_mixed,20260916,IDHmut_TP53wt,10.0,100.0,228.0,6,2.28,1.189033824390017,0.00010521763984695475,4.574824235007926,5.05571317298198,0.42066420664206644,143.33286463578688,11.405684888341312,23
co_separated,20260907,IDHmut_TP53mut,10.0,100.0,309.0,2,3.09,1.6276068381296498,0.00014403352105246702,3.3419457165588717,5.1668686826375865,0.5587703435804702,104.83674471628434,13.57428245627724,23
co_separated,20260907,IDHmut_TP53wt,10.0,100.0,244.0,8,2.44,1.2868811477881617,0.00012020067455205155,4.004571609236186,5.05322350805487,0.4412296564195298,97.74264160614746,13.57428245627724,23
co_separated,20260908,IDHmut_TP53mut,10.0,100.0,346.0,0,3.46,1.790772037862,0.00015913681507366602,3.0247696518204257,5.202481199983804,0.6134751773049646,109.34008387405642,13.328111529132842,23
co_separated,20260908,IDHmut_TP53wt,10.0,100.0,218.0,7,2.18,1.1243281350022019,9.808620671172897e-05,4.907440351290749,5.018161088966723,0.38652482269503546,91.7490863797573,13.328111529132842,23
co_separated,20260909,IDHmut_TP53mut,10.0,100.0,258.0,0,2.58,1.3673710656485294,0.00011378275003105835,4.230449770205004,5.066591855616616,0.6013986013986014,96.43542405258228,15.12508142915939,23
co_separated,20260909,IDHmut_TP53wt,10.0,100.0,171.0,6,1.71,0.7739963251111731,7.843976857350943e-05,6.136583744138504,4.840962115779076,0.3986013986013986,85.57832908386291,15.12508142915939,23
co_separated,20260910,IDHmut_TP53mut,10.0,100.0,312.0,0,3.12,1.6415460290875237,0.00014366681166280904,3.3504760295783167,5.148201671191814,0.5621621621621622,104.64184843026216,13.708156821042586,23
co_separated,20260910,IDHmut_TP53wt,10.0,100.0,243.0,2,2.43,1.2809563138310562,0.0001081679629289722,4.45004413218229,5.0310213382331685,0.43783783783783786,95.23594965310562,13.708156821042586,23
co_separated,20260911,IDHmut_TP53mut,10.0,100.0,305.0,0,3.05,1.6088092426755238,0.00013057618774354085,3.6863705170163774,5.158714307108729,0.5733082706766918,104.36756710351432,13.897279740540924,23
co_separated,20260911,IDHmut_TP53wt,10.0,100.0,227.0,3,2.27,1.1826922975161902,0.00010504179624047747,4.582482649289435,5.030909552088873,0.4266917293233083,93.12835122031326,13.897279740540924,23
co_separated,20260912,IDHmut_TP53mut,10.0,100.0,304.0,4,3.04,1.6040713236688608,0.0001336430882438607,3.6017740614004152,5.198228295708738,0.6191446028513238,104.62924363328656,14.02978515926304,23
co_separated,20260912,IDHmut_TP53wt,10.0,100.0,187.0,6,1.87,0.903038270112912,8.594745261406254e-05,5.600540726711735,4.943100797554395,0.38085539714867617,87.96636209501106,14.02978515926304,23
co_separated,20260913,IDHmut_TP53mut,10.0,100.0,300.0,2,3.0,1.584962500721156,0.0001375668962224477,3.499040989802013,5.137247813071317,0.5725190839694656,104.7614448841098,13.96671644452036,23
co_separated,20260913,IDHmut_TP53wt,10.0,100.0,224.0,6,2.24,1.1634987322828796,9.72513029606789e-05,4.949570793070061,5.048366319821765,0.42748091603053434,93.30104246231353,13.96671644452036,23
co_separated,20260914,IDHmut_TP53mut,10.0,100.0,294.0,2,2.94,1.5558161550616396,0.00013281040699306238,3.6243560999502744,5.165649669974244,0.570873786407767,103.89258813524194,13.998088736876113,23
co_separated,20260914,IDHmut_TP53wt,10.0,100.0,221.0,5,2.21,1.144046369616707,0.00010030645412436607,4.798815917920639,4.995064515807468,0.429126213592233,91.72576700463554,13.998088736876113,23
co_separated,20260915,IDHmut_TP53mut,10.0,100.0,343.0,2,3.43,1.7782085763980877,0.00015698652925447812,3.0662007180367894,5.220154350771184,0.6483931947069943,111.88058422730806,13.630799453568152,23
co_separated,20260915,IDHmut_TP53wt,10.0,100.0,186.0,4,1.86,0.8953026213333067,7.71838079919718e-05,6.236440274782136,4.93951030390412,0.3516068052930057,85.76866601884728,13.630799453568152,23
co_separated,20260916,IDHmut_TP53mut,10.0,100.0,370.0,0,3.7,1.8875252707415875,0.00016483701612780114,2.920170602633228,5.263916034185048,0.6434782608695652,114.130218326374,12.703240910820732,23
co_separated,20260916,IDHmut_TP53wt,10.0,100.0,205.0,5,2.05,1.0356239097307212,8.633872890471371e-05,5.575159778567281,4.977432231341038,0.3565217391304348,90.47205203227557,12.703240910820732,23
co_swapped,20260907,IDHmut_TP53mut,10.0,100.0,338.0,1,3.38,1.7570232465074596,0.00015239812332572923,3.1585179542753465,5.181913767388846,0.6101083032490975,108.62794139883474,13.470621328599053,23
co_swapped,20260907,IDHmut_TP53wt,10.0,100.0,216.0,7,2.16,1.1110313123887439,0.00010571969495874127,4.553098728766096,4.9586155462706385,0.3898916967509025,91.26239254787632,13.470621328599053,23
co_swapped,20260908,IDHmut_TP53mut,10.0,100.0,281.0,1,2.81,1.4905701304462013,0.00012707545752697216,3.7879242624014613,5.10286720007878,0.5414258188824663,100.83029944859187,14.209570781089198,23
co_swapped,20260908,IDHmut_TP53wt,10.0,100.0,238.0,9,2.38,1.2509615735332187,0.00011170357769391232,4.3091924060048905,5.020108247415546,0.45857418111753373,95.10608204604983,14.209570781089198,23
co_swapped,20260909,IDHmut_TP53mut,10.0,100.0,318.0,0,3.18,1.6690267655096307,0.00014829310644351543,3.2459513477487936,5.1809409580959125,0.5638297872340425,107.03281452555335,13.40703375757567,23
co_swapped,20260909,IDHmut_TP53wt,10.0,100.0,246.0,6,2.46,1.298658315564515,0.00011664519995365816,4.126635377310169,5.046632246722122,0.43617021276595747,97.11817393607024,13.40703375757567,23
co_swapped,20260910,IDHmut_TP53mut,10.0,100.0,302.0,1,3.02,1.5945485495503542,0.0001347070767944589,3.573325323187359,5.146277675856007,0.5774378585086042,104.0999528261844,13.931210206691174,23
co_swapped,20260910,IDHmut_TP53wt,10.0,100.0,221.0,6,2.21,1.144046369616707,9.711455921681934e-05,4.956540117198189,5.014540941691201,0.4225621414913958,93.6131009725325,13.931210206691174,23
co_swapped,20260911,IDHmut_TP53mut,10.0,100.0,352.0,1,3.52,1.8155754288625725,0.00016102238314899482,2.989349674925545,5.297699443519333,0.5770491803278689,113.07743148573148,12.614698532253056,23
co_swapped,20260911,IDHmut_TP53wt,10.0,100.0,258.0,8,2.58,1.3673710656485294,0.000116917575939046,4.117021798101025,5.084116515898677,0.42295081967213116,98.80140597218524,12.614698532253056,23
co_swapped,20260912,IDHmut_TP53mut,10.0,100.0,285.0,2,2.85,1.5109619192773793,0.00013396412355346852,3.5931426709932843,5.119155006514791,0.5828220858895705,102.31207994961659,14.252102163467326,23
