apoptosis_factor,population,mean,sd,n_replicates
1.0,IDHmut_TP53mut,202.4,27.8262466028029,5
1.0,IDHmut_TP53wt,203.4,31.92647803939545,5
10.0,IDHmut_TP53mut,308.0,22.22611077089287,5
10.0,IDHmut_TP53wt,199.8,30.301815127150387,5
100.0,IDHmut_TP53mut,335.2,20.992855927672156,5
100.0,IDHmut_TP53wt,195.2,27.7254395817271,5
2.0,IDHmut_TP53mut,251.2,33.282127335854,5
2.0,IDHmut_TP53wt,198.0,28.88771365130858,5
20.0,IDHmut_TP53mut,299.6,18.474306482247172,5
20.0,IDHmut_TP53wt,200.6,28.430617298961344,5
5.0,IDHmut_TP53mut,311.6,27.02406335102107,5
5.0,IDHmut_TP53wt,191.6,19.16507239746305,5
